Business ID: 36qqRqBt2QJvkW1y9z06NQ	 | Ground Truth Categories :[ "Pediatric Dentists" , "Health & Medical" , "Dentists"]				 | Programatically assigned Categoires :Health & Medical, Doctors		 | precision : 0.5 		 | Recall : 0.33333334		 | F-Measure : 0.4
Business ID: 3o1YTQpduZ2WeyGzYJcEWQ	 | Ground Truth Categories :[ "Doctors" , "Diagnostic Services" , "Health & Medical" , "Chiropractors" , "Family Practice"]				 | Programatically assigned Categoires :Laser Eye SurgeryLasik		 | precision : 0.0 		 | Recall : 0.0		 | F-Measure : 0.0
Business ID: cOGJDyPHYVXU7lJOxO3a1Q	 | Ground Truth Categories :[ "Doctors" , "Health & Medical" , "Pediatricians"]				 | Programatically assigned Categoires :Cardiologists, Pediatricians		 | precision : 0.5 		 | Recall : 0.33333334		 | F-Measure : 0.4
Business ID: qea7N8VfC9bLaC4BcnQ7Qg	 | Ground Truth Categories :[ "Plumbing" , "Home Services"]				 | Programatically assigned Categoires :Contractors, Plumbing		 | precision : 0.5 		 | Recall : 0.5		 | F-Measure : 0.5
Business ID: ADwLt27ODXeQcobrepsvYQ	 | Ground Truth Categories :[ "Beauty & Spas" , "Hair Removal" , "Medical Spas" , "Skin Care" , "Health & Medical" , "Laser Hair Removal"]				 | Programatically assigned Categoires :Cosmetic Surgeons		 | precision : 0.0 		 | Recall : 0.0		 | F-Measure : 0.0
Business ID: BHqiIqN-iBNS1QzGAo6c_Q	 | Ground Truth Categories :[ "Food" , "Department Stores" , "Grocery" , "Fashion" , "Shopping"]				 | Programatically assigned Categoires :Department Stores		 | precision : 1.0 		 | Recall : 0.2		 | F-Measure : 0.3333333
Business ID: 8YIjVRRk30INSm4S0QAoWQ	 | Ground Truth Categories :[ "Food" , "Beer, Wine & Spirits"]				 | Programatically assigned Categoires :Beer, Wine & Spirits, Wineries		 | precision : 0.0 		 | Recall : 0.0		 | F-Measure : 0.0
Business ID: Cx1UnfXknZgT55VbUTe90g	 | Ground Truth Categories :[ "Food" , "Beer, Wine & Spirits"]				 | Programatically assigned Categoires :Beer, Wine & Spirits		 | precision : 0.0 		 | Recall : 0.0		 | F-Measure : 0.0
Business ID: e6TYBd-h4lT3OxepnAUq0Q	 | Ground Truth Categories :[ "Food" , "Beer, Wine & Spirits"]				 | Programatically assigned Categoires :Beer, Wine & Spirits		 | precision : 0.0 		 | Recall : 0.0		 | F-Measure : 0.0
Business ID: UZ0wbqXoT1ZNM_7rf3pRKQ	 | Ground Truth Categories :[ "Food" , "Beer, Wine & Spirits"]				 | Programatically assigned Categoires :Beer, Wine & Spirits		 | precision : 0.0 		 | Recall : 0.0		 | F-Measure : 0.0
Business ID: hLI0MPZ-US4BP1pa8kd82Q	 | Ground Truth Categories :[ "Hotels & Travel" , "Tours"]				 | Programatically assigned Categoires :Tours		 | precision : 1.0 		 | Recall : 0.5		 | F-Measure : 0.6666667
Business ID: UZmxMdAa-_Zy07TmVp_iQA	 | Ground Truth Categories :[ "Health & Medical" , "Dentists" , "Orthodontists" , "General Dentistry" , "Cosmetic Dentists"]				 | Programatically assigned Categoires :Oral Surgeons, Orthodontists		 | precision : 0.5 		 | Recall : 0.2		 | F-Measure : 0.2857143
Business ID: sp1qzPudsiyhKs7Qhdvzvw	 | Ground Truth Categories :[ "Health & Medical" , "Dentists" , "General Dentistry" , "Cosmetic Dentists"]				 | Programatically assigned Categoires :Oral Surgeons		 | precision : 0.0 		 | Recall : 0.0		 | F-Measure : 0.0
Business ID: AlDg2paXcapGYGUR1ACIXQ	 | Ground Truth Categories :[ "Health & Medical" , "Dentists" , "Orthodontists" , "General Dentistry" , "Cosmetic Dentists"]				 | Programatically assigned Categoires :Oral Surgeons		 | precision : 0.0 		 | Recall : 0.0		 | F-Measure : 0.0
Business ID: h02tikkTU5drhNbB0mBeGA	 | Ground Truth Categories :[ "Oral Surgeons" , "Health & Medical" , "Medical Centers" , "Endodontists" , "Dentists"]				 | Programatically assigned Categoires :Orthodontists		 | precision : 0.0 		 | Recall : 0.0		 | F-Measure : 0.0
Business ID: LE3Rp0opwqdWPnYQrVlzyg	 | Ground Truth Categories :[ "Health & Medical" , "Dentists" , "General Dentistry"]				 | Programatically assigned Categoires :Orthodontists		 | precision : 0.0 		 | Recall : 0.0		 | F-Measure : 0.0
Business ID: poVD0uK5L3sJWhwUqeywAQ	 | Ground Truth Categories :[ "Hair Salons" , "Day Spas" , "Beauty & Spas"]				 | Programatically assigned Categoires :Skin Care,Day Spas		 | precision : 0.5 		 | Recall : 0.33333334		 | F-Measure : 0.4
Business ID: KuIEPVHXZgirecAdNSoJug	 | Ground Truth Categories :[ "Sporting Goods" , "Fashion" , "Shopping" , "Outlet Stores" , "Sports Wear"]				 | Programatically assigned Categoires :Sports Wear, Shoe Stores		 | precision : 0.5 		 | Recall : 0.2		 | F-Measure : 0.2857143
Business ID: h5uDY8OXp6zM7OplyHNzLg	 | Ground Truth Categories :[ "Local Services" , "Self Storage"]				 | Programatically assigned Categoires :Fabric Stores		 | precision : 0.0 		 | Recall : 0.0		 | F-Measure : 0.0
Business ID: XyHJTg5zGDh5ckwJxahQ-g	 | Ground Truth Categories :[ "Massage Therapy" , "Reflexology" , "Health & Medical" , "Reiki"]				 | Programatically assigned Categoires :Fabric Stores		 | precision : 0.0 		 | Recall : 0.0		 | F-Measure : 0.0
Business ID: LN0C9zNfQBlDfpt1ILDFNQ	 | Ground Truth Categories :[ "Food" , "Farmers Market"]				 | Programatically assigned Categoires :Farmers Market, Fruits & Veggies		 | precision : 0.5 		 | Recall : 0.5		 | F-Measure : 0.5
Business ID: RMZDwIRKt0E4LoYbjSs91Q	 | Ground Truth Categories :[ "Food" , "Farmers Market"]				 | Programatically assigned Categoires :Farmers Market		 | precision : 1.0 		 | Recall : 0.5		 | F-Measure : 0.6666667
Business ID: qmRIjwkeHjrLFvV9er5vEA	 | Ground Truth Categories :[ "Food" , "Grocery" , "Farmers Market"]				 | Programatically assigned Categoires :Farmers Market		 | precision : 1.0 		 | Recall : 0.33333334		 | F-Measure : 0.5
Business ID: o1ETcUM0x4cAQaYAMC7gLA	 | Ground Truth Categories :[ "Local Services" , "Discount Store" , "Community Service/Non-Profit" , "Thrift Stores" , "Shopping"]				 | Programatically assigned Categoires :Fashion, Shopping		 | precision : 0.5 		 | Recall : 0.2		 | F-Measure : 0.2857143
Business ID: HJNs2NJ6Ct6pi6cVo8UTiQ	 | Ground Truth Categories :[ "Plumbing" , "Home Services"]				 | Programatically assigned Categoires :Plumbing		 | precision : 1.0 		 | Recall : 0.5		 | F-Measure : 0.6666667
Business ID: dG6_kYl1fCgsM0j2bViihg	 | Ground Truth Categories :[ "Plumbing" , "Home Services"]				 | Programatically assigned Categoires :Plumbing		 | precision : 1.0 		 | Recall : 0.5		 | F-Measure : 0.6666667
Business ID: EXpmsQhHjk7U5X1kw7Rk_Q	 | Ground Truth Categories :[ "Department Stores" , "Fashion" , "Shopping"]				 | Programatically assigned Categoires :Grocery, Wholesale Stores		 | precision : 0.0 		 | Recall : 0.0		 | F-Measure : 0.0
Business ID: SB3boX2xy2EQxGF4Nm_R0A	 | Ground Truth Categories :[ "Bakeries" , "Food" , "Convenience Stores" , "American (New)" , "Restaurants"]				 | Programatically assigned Categoires :Grocery		 | precision : 0.0 		 | Recall : 0.0		 | F-Measure : 0.0
Business ID: 6SwEpo2HMnkex7b-uyIWtQ	 | Ground Truth Categories :[ "Food" , "Grocery" , "Shopping" , "Drugstores"]				 | Programatically assigned Categoires :Grocery		 | precision : 1.0 		 | Recall : 0.25		 | F-Measure : 0.4
Business ID: GPjNTcCMGa_YYQv1CYPENA	 | Ground Truth Categories :[ "Hair Salons" , "Hair Extensions" , "Hair Stylists" , "Beauty & Spas"]				 | Programatically assigned Categoires :Hair Stylists		 | precision : 1.0 		 | Recall : 0.25		 | F-Measure : 0.4
Business ID: MEsBbR5anJXz5j8LuYkRMg	 | Ground Truth Categories :[ "Damage Restoration" , "Handyman" , "Home Services"]				 | Programatically assigned Categoires :Handyman		 | precision : 1.0 		 | Recall : 0.33333334		 | F-Measure : 0.5
Business ID: 3yNs4HBBk7kIDFBa3G9BrA	 | Ground Truth Categories :[ "Food" , "Farmers Market"]				 | Programatically assigned Categoires :Fruits & Veggies		 | precision : 0.0 		 | Recall : 0.0		 | F-Measure : 0.0
Business ID: S9d70aaR-sFSd8vuJtYSNg	 | Ground Truth Categories :[ "Home Services" , "Heating & Air Conditioning/HVAC"]				 | Programatically assigned Categoires :Garage Door Services		 | precision : 0.0 		 | Recall : 0.0		 | F-Measure : 0.0
Business ID: Ao7CfxWU45hDPhWoa5STLg	 | Ground Truth Categories :[ "American (New)" , "Restaurants"]				 | Programatically assigned Categoires :Gastropubs, Bars		 | precision : 0.0 		 | Recall : 0.0		 | F-Measure : 0.0
Business ID: 1Ckk5gfhNuCsUPTOb6SKyA	 | Ground Truth Categories :[ "Auto Repair" , "Automotive" , "Auto Parts & Supplies" , "Oil Change Stations"]				 | Programatically assigned Categoires :Videographers		 | precision : 0.0 		 | Recall : 0.0		 | F-Measure : 0.0
Business ID: 0Qqzo9zVB618xaIL1jjxcw	 | Ground Truth Categories :[ "Web Design" , "Marketing" , "Professional Services"]				 | Programatically assigned Categoires :Web Design		 | precision : 1.0 		 | Recall : 0.33333334		 | F-Measure : 0.5
Business ID: lOa9gNqNgB3YTkH3I0gAMw	 | Ground Truth Categories :[ "Home Services" , "Glass & Mirrors" , "Contractors"]				 | Programatically assigned Categoires :Windows Installation		 | precision : 0.0 		 | Recall : 0.0		 | F-Measure : 0.0
Business ID: frfd03S7ViE1A63MBVXHWQ	 | Ground Truth Categories :[ "Local Services" , "Appliances & Repair" , "Home Services" , "Heating & Air Conditioning/HVAC"]				 | Programatically assigned Categoires :Heating & Air ConditioningHVAC		 | precision : 0.0 		 | Recall : 0.0		 | F-Measure : 0.0
Business ID: toJNV7losi-kaKxNu5pP0A	 | Ground Truth Categories :[ "Home Services" , "Heating & Air Conditioning/HVAC"]				 | Programatically assigned Categoires :Heating & Air ConditioningHVAC		 | precision : 0.0 		 | Recall : 0.0		 | F-Measure : 0.0
Business ID: yUXWpk-7WP9BRUwwCPC8tA	 | Ground Truth Categories :[ "Home Services" , "Heating & Air Conditioning/HVAC" , "Contractors"]				 | Programatically assigned Categoires :Heating & Air ConditioningHVAC		 | precision : 0.0 		 | Recall : 0.0		 | F-Measure : 0.0
Business ID: qArcjnRqFb33pgvSPtwhOw	 | Ground Truth Categories :[ "Home Services" , "Heating & Air Conditioning/HVAC"]				 | Programatically assigned Categoires :Heating & Air ConditioningHVAC		 | precision : 0.0 		 | Recall : 0.0		 | F-Measure : 0.0
Business ID: uVDnUVjbgobsCMFZd8exqA	 | Ground Truth Categories :[ "Home Services" , "Heating & Air Conditioning/HVAC"]				 | Programatically assigned Categoires :Heating & Air ConditioningHVAC		 | precision : 0.0 		 | Recall : 0.0		 | F-Measure : 0.0
Business ID: S_LI7AwYFI_uAHKzAtcOig	 | Ground Truth Categories :[ "Plumbing" , "Home Services" , "Heating & Air Conditioning/HVAC"]				 | Programatically assigned Categoires :Heating & Air ConditioningHVAC		 | precision : 0.0 		 | Recall : 0.0		 | F-Measure : 0.0
Business ID: Vq9qSHZLWSqCup6DFXOAqg	 | Ground Truth Categories :[ "Home Services" , "Heating & Air Conditioning/HVAC"]				 | Programatically assigned Categoires :Heating & Air ConditioningHVAC		 | precision : 0.0 		 | Recall : 0.0		 | F-Measure : 0.0
Business ID: AsfsisUGyNvVzEXSjiXAbg	 | Ground Truth Categories :[ "Home Services" , "Heating & Air Conditioning/HVAC"]				 | Programatically assigned Categoires :Heating & Air ConditioningHVAC		 | precision : 0.0 		 | Recall : 0.0		 | F-Measure : 0.0
Business ID: mMcyy00fo1OkQ5a8Trw6wA	 | Ground Truth Categories :[ "Food" , "Herbs & Spices" , "Specialty Food"]				 | Programatically assigned Categoires :Herbs & Spices		 | precision : 1.0 		 | Recall : 0.33333334		 | F-Measure : 0.5
Business ID: KcJz_9ETyKgvVhw7GEgaAQ	 | Ground Truth Categories :[ "Department Stores" , "Fashion" , "Shopping"]				 | Programatically assigned Categoires :Herbs & Spices		 | precision : 0.0 		 | Recall : 0.0		 | F-Measure : 0.0
Business ID: XraR0XLzGhzVrAdv4WzFkA	 | Ground Truth Categories :[ "Food" , "Herbs & Spices" , "Specialty Food"]				 | Programatically assigned Categoires :Herbs & Spices		 | precision : 1.0 		 | Recall : 0.33333334		 | F-Measure : 0.5
Business ID: a720bjXTBavuhqBko7eRAw	 | Ground Truth Categories :[ "Food" , "Herbs & Spices" , "Coffee & Tea" , "Specialty Food"]				 | Programatically assigned Categoires :Herbs & Spices		 | precision : 1.0 		 | Recall : 0.25		 | F-Measure : 0.4
Business ID: yxVSJQe0iqTiGnwaNtLSSQ	 | Ground Truth Categories :[ "Food" , "Herbs & Spices" , "Specialty Food"]				 | Programatically assigned Categoires :Herbs & Spices		 | precision : 1.0 		 | Recall : 0.33333334		 | F-Measure : 0.5
Business ID: CeWbvJxSauOw4uvEaMxa5w	 | Ground Truth Categories :[ "Food" , "Herbs & Spices" , "Specialty Food"]				 | Programatically assigned Categoires :Herbs & Spices		 | precision : 1.0 		 | Recall : 0.33333334		 | F-Measure : 0.5
Business ID: 0b2-YVU2Oi_LHX6KwmWjpA	 | Ground Truth Categories :[ "Indian" , "Middle Eastern" , "Restaurants"]				 | Programatically assigned Categoires :Herbs & Spices, HimalayanNepalese		 | precision : 0.0 		 | Recall : 0.0		 | F-Measure : 0.0
Business ID: AZJGud8N--ScMMCcasROcQ	 | Ground Truth Categories :[ "Indian" , "Himalayan/Nepalese" , "Restaurants"]				 | Programatically assigned Categoires :Herbs & Spices, HimalayanNepalese		 | precision : 0.0 		 | Recall : 0.0		 | F-Measure : 0.0
Business ID: teRHDxzpaVBA_vR0mKoGxQ	 | Ground Truth Categories :[ "Food" , "Grocery"]				 | Programatically assigned Categoires :Herbs & Spices, Wholesale Stores		 | precision : 0.0 		 | Recall : 0.0		 | F-Measure : 0.0
Business ID: 68GhPwXdfsC2gtqXpg600A	 | Ground Truth Categories :[ "Food" , "Herbs & Spices" , "Specialty Food"]				 | Programatically assigned Categoires :Herbs & Spices		 | precision : 1.0 		 | Recall : 0.33333334		 | F-Measure : 0.5
Business ID: VUH9DtK5G1zvgpkNpp58gg	 | Ground Truth Categories :[ "Indian" , "Restaurants"]				 | Programatically assigned Categoires :Herbs & Spices		 | precision : 0.0 		 | Recall : 0.0		 | F-Measure : 0.0
Business ID: 4K7nR-e9staGTNJk1ez7MA	 | Ground Truth Categories :[ "Food" , "Coffee & Tea"]				 | Programatically assigned Categoires :Herbs & Spices		 | precision : 0.0 		 | Recall : 0.0		 | F-Measure : 0.0
Business ID: o-FEypEs1_XwzSZJJ4ne0A	 | Ground Truth Categories :[ "Food" , "Specialty Food" , "Food Trucks"]				 | Programatically assigned Categoires :Herbs & Spices		 | precision : 0.0 		 | Recall : 0.0		 | F-Measure : 0.0
Business ID: VsaFeXDhG75yTWUGTDzNAA	 | Ground Truth Categories :[ "Vegetarian" , "Vegan" , "Restaurants"]				 | Programatically assigned Categoires :Herbs & Spices, Delicatessen		 | precision : 0.0 		 | Recall : 0.0		 | F-Measure : 0.0
Business ID: eS1ueKiutSsiCCqDa7e-gQ	 | Ground Truth Categories :[ "Food" , "Grocery" , "Seafood" , "Restaurants"]				 | Programatically assigned Categoires :Herbs & Spices		 | precision : 0.0 		 | Recall : 0.0		 | F-Measure : 0.0
Business ID: zDBht2H2UanePW1z2td8xA	 | Ground Truth Categories :[ "Active Life" , "Hiking"]				 | Programatically assigned Categoires :Hiking, Climbing		 | precision : 0.5 		 | Recall : 0.5		 | F-Measure : 0.5
Business ID: 52mYdQK5U7q9navRWmODvQ	 | Ground Truth Categories :[ "Landmarks & Historical Buildings" , "Public Services & Government"]				 | Programatically assigned Categoires :Hiking		 | precision : 0.0 		 | Recall : 0.0		 | F-Measure : 0.0
Business ID: bgGDY28UvkfJE0pHrmoIyQ	 | Ground Truth Categories :[ "Active Life" , "Parks"]				 | Programatically assigned Categoires :Hiking, Climbing		 | precision : 0.0 		 | Recall : 0.0		 | F-Measure : 0.0
Business ID: eZawq2FXqdh0sk2SASNQ1A	 | Ground Truth Categories :[ "Active Life" , "Parks" , "Hiking"]				 | Programatically assigned Categoires :Hiking, Campgrounds		 | precision : 0.5 		 | Recall : 0.33333334		 | F-Measure : 0.4
Business ID: BN036HERQ7id8OMXJZYVvQ	 | Ground Truth Categories :[ "Active Life" , "Parks"]				 | Programatically assigned Categoires :Hiking, Disc Golf, Playgrounds		 | precision : 0.0 		 | Recall : 0.0		 | F-Measure : 0.0
Business ID: jdCWPS_Gh2burgvscJd-MA	 | Ground Truth Categories :[ "Indian" , "Himalayan/Nepalese" , "Restaurants"]				 | Programatically assigned Categoires :HimalayanNepalese		 | precision : 0.0 		 | Recall : 0.0		 | F-Measure : 0.0
Business ID: sB-Mo3bBzqUEfm7O1xV_KA	 | Ground Truth Categories :[ "Asian Fusion" , "Restaurants"]				 | Programatically assigned Categoires :HimalayanNepalese		 | precision : 0.0 		 | Recall : 0.0		 | F-Measure : 0.0
Business ID: oCgA6kdDf7EDHaRW6FRUlA	 | Ground Truth Categories :[ "Indian" , "Himalayan/Nepalese" , "Restaurants"]				 | Programatically assigned Categoires :HimalayanNepalese, Pet Adoption		 | precision : 0.0 		 | Recall : 0.0		 | F-Measure : 0.0
Business ID: pMcvw3YU0kHYe3XdC34sSA	 | Ground Truth Categories :[ "Pakistani" , "Restaurants"]				 | Programatically assigned Categoires :HimalayanNepalese		 | precision : 0.0 		 | Recall : 0.0		 | F-Measure : 0.0
Business ID: mWcJN4KWwh68pWVkog7WHQ	 | Ground Truth Categories :[ "Food" , "Ethnic Food" , "Indian" , "Restaurants" , "Specialty Food"]				 | Programatically assigned Categoires :HimalayanNepalese		 | precision : 0.0 		 | Recall : 0.0		 | F-Measure : 0.0
Business ID: 7Db8jAZywn6hdXuTHI1IgA	 | Ground Truth Categories :[ "Food" , "Grocery" , "Indian" , "Vegetarian" , "Restaurants"]				 | Programatically assigned Categoires :HimalayanNepalese		 | precision : 0.0 		 | Recall : 0.0		 | F-Measure : 0.0
Business ID: Emo6FA22dnGtGznPX5rvmw	 | Ground Truth Categories :[ "Fashion" , "Shopping" , "Accessories" , "Personal Shopping"]				 | Programatically assigned Categoires :HimalayanNepalese		 | precision : 0.0 		 | Recall : 0.0		 | F-Measure : 0.0
Business ID: elstmdus1x-alE3RvVP9DQ	 | Ground Truth Categories :[ "Indian" , "Restaurants"]				 | Programatically assigned Categoires :HimalayanNepalese		 | precision : 0.0 		 | Recall : 0.0		 | F-Measure : 0.0
Business ID: eC1Sx5PeCChg5Go3OjyWcQ	 | Ground Truth Categories :[ "Asian Fusion" , "Restaurants"]				 | Programatically assigned Categoires :HimalayanNepalese, Indonesian		 | precision : 0.0 		 | Recall : 0.0		 | F-Measure : 0.0
Business ID: hEoHJJf6vYzQb4iFkTgX2A	 | Ground Truth Categories :[ "Pakistani" , "Indian" , "Restaurants"]				 | Programatically assigned Categoires :HimalayanNepalese		 | precision : 0.0 		 | Recall : 0.0		 | F-Measure : 0.0
Business ID: sOXnzUi8oJIFKof5Ko5-9g	 | Ground Truth Categories :[ "Hair Salons" , "Beauty & Spas"]				 | Programatically assigned Categoires :HimalayanNepalese		 | precision : 0.0 		 | Recall : 0.0		 | F-Measure : 0.0
Business ID: vMLItQgYY195s4Y1ZpigGA	 | Ground Truth Categories :[ "Arts & Crafts" , "Fashion" , "Shopping" , "Jewelry" , "Accessories"]				 | Programatically assigned Categoires :HimalayanNepalese		 | precision : 0.0 		 | Recall : 0.0		 | F-Measure : 0.0
Business ID: BcZIyqmGH85qdIDnP501LA	 | Ground Truth Categories :[ "Vegetarian" , "Indian" , "Vegan" , "Restaurants"]				 | Programatically assigned Categoires :HimalayanNepalese		 | precision : 0.0 		 | Recall : 0.0		 | F-Measure : 0.0
Business ID: Jcy2OENZ9uTPee2gE6InMg	 | Ground Truth Categories :[ "Asian Fusion" , "Restaurants"]				 | Programatically assigned Categoires :HimalayanNepalese		 | precision : 0.0 		 | Recall : 0.0		 | F-Measure : 0.0
Business ID: BwfiNCOxA2B6pOLdeh1kGQ	 | Ground Truth Categories :[ "Indian" , "Restaurants"]				 | Programatically assigned Categoires :HimalayanNepalese		 | precision : 0.0 		 | Recall : 0.0		 | F-Measure : 0.0
Business ID: GD_5bbOLC1EZCuTu_UK6Kw	 | Ground Truth Categories :[ "Indian" , "Restaurants"]				 | Programatically assigned Categoires :HimalayanNepalese		 | precision : 0.0 		 | Recall : 0.0		 | F-Measure : 0.0
Business ID: yeAqlHfG3u2PJ1NyeNOUtA	 | Ground Truth Categories :[ "Hobby Shops" , "Comic Books" , "Books, Mags, Music & Video" , "Shopping" , "Toy Stores"]				 | Programatically assigned Categoires :Hobby Shops, Toy Stores		 | precision : 1.0 		 | Recall : 0.4		 | F-Measure : 0.5714286
